name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,GENRE 7
0,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,4rXLjWdF2ZZpXCVTfWcshS,fukumean,96,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4,atl hip hop,melodic rap,rap,trap,,,,
1,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,3k79jB4aGmMDUQzEwa46Rz,vampire,98,3k79jB4aGmMDUQzEwa46Rz,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,219724,4,pop,,,,,,,
2,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),98,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,,,,,,,
3,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,7K3BhSpAxZBznislvUMVtn,Last Night,90,7K3BhSpAxZBznislvUMVtn,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,163855,4,contemporary country,,,,,,,
4,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,100,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,pop,,,,,,,
5,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,92,3qQbCzHBycnDpGskqOWY0E,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671,3,corrido,corridos tumbados,sad sierreno,sierreno,,,,
6,Luke Combs,718COspgdWOnwOFpJHRZHS,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,92,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,265493,4,contemporary country,country,,,,,,
8,SZA,7tYKF4w9nC0nq9CsPZTHyP,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,94,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,pop,r&b,rap,,,,,
9,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",91,6wf7Yu7cxBSPrRlWeSeK0Q,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,art pop,electropop,pop,,,,,
11,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],92,741UUVE2kuITl0c6zuqqbO,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,109750,4,hip pop,pop,queens hip hop,rap,,,,
12,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,6pD0ufEQq0xdHSsRbg9LBK,un x100to,98,6pD0ufEQq0xdHSsRbg9LBK,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563,4,musica chihuahuense,,,,,,,
13,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),95,7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,hip hop,rap,,,,,,
14,NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,94,5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4,k-pop,k-pop girl group,,,,,,
16,Yng Lvcas,1NNRWkhwmcXRimFYSBpB1y,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,98,2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,234353,4,reggaeton,,,,,,,
17,Post Malone,246dkjvS1zLTtiykXe5h60,3t0ic4mkhvhamrKDkulB8v,Overdrive,86,3t0ic4mkhvhamrKDkulB8v,0.555,0.729,1,-5.062,1,0.0443,0.000374,0.000139,0.347,0.482,139.864,147680,4,dfw rap,melodic rap,pop,rap,,,,
18,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,90,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,classic oklahoma country,modern country pop,,,,,,
19,Bad Bunny,4q3ewBCX7sLwd24euuV69X,7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,99,7ro0hRteUMfnOioTFI5TG1,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,231704,4,reggaeton,trap latino,urbano latino,,,,,
20,Lil Durk,3hcs9uc56yIGFCSy9leWe7,6T7FXSuXykeGktMLGp8WgE,All My Life (feat. J. Cole),83,6T7FXSuXykeGktMLGp8WgE,0.787,0.57,3,-5.881,1,0.225,0.0449,0.0,0.135,0.733,142.974,223879,4,chicago drill,chicago rap,drill,hip hop,rap,trap,,
21,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,94,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4,bedroom pop,,,,,,,
22,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,93,7mXuWTczZNxG5EDcjFEuJR,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,212878,3,sad sierreno,,,,,,,
24,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,1UMm1Qs3u59Wvk53zBUE8r,SABOR FRESA,94,1UMm1Qs3u59Wvk53zBUE8r,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,156501,3,corrido,corridos tumbados,sad sierreno,sierreno,,,,
25,Junior H,7Gi6gjaWy3DxyilpF1a8Is,1haJsMtoBhHfvuM7XWuT3W,El Azul,94,1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,9,-7.081,0,0.055,0.226,7.76e-06,0.0986,0.844,143.876,187226,3,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,,,
26,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,92,68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4,conscious hip hop,hip hop,north carolina hip hop,rap,,,,
28,Harry Styles,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e,As It Was,93,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,pop,,,,,,,
29,FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,97,7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253,4,k-pop girl group,,,,,,,
30,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,4daEMLSZCgZ2Mt7gNm2SRa,Flooded The Face,88,4daEMLSZCgZ2Mt7gNm2SRa,0.64,0.609,1,-7.714,0,0.304,0.492,2.47e-06,0.152,0.393,131.889,192727,4,melodic rap,philly rap,rage rap,rap,trap,,,
33,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,4DHcnVTT87F0zZhRPYmZ3B,Flowers,90,4DHcnVTT87F0zZhRPYmZ3B,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,pop,,,,,,,
35,Drake,3TVXtAsR1Inumwj472S9r4,7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,90,7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113,4,canadian hip hop,canadian pop,hip hop,rap,toronto rap,,,
36,Myke Towers,7iK8PXO48WeuP03g8YR51W,7ABLbnD53cQK00mhcaOUVG,LALA,99,7ABLbnD53cQK00mhcaOUVG,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920,4,reggaeton,trap latino,urbano latino,,,,,
37,Bizarrap,716NhGYqD1jl2wI1Qkgq36,5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",96,5AqiaZwhmC6dIbgWrD5SzV,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,187660,3,argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,,,
38,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,3xIMkM5LgbVDkpO74O3Np3,Rush,88,3xIMkM5LgbVDkpO74O3Np3,0.742,0.839,5,-7.614,0,0.0618,0.00306,4.2e-05,0.106,0.346,126.03,156391,4,australian pop,pop,viral pop,,,,,
40,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,0JmnkIqdlnUzPaf8sqBRs3,Moonlight,88,0JmnkIqdlnUzPaf8sqBRs3,0.642,0.706,7,-6.872,0,0.052,0.518,0.0,0.25,0.896,136.851,187723,4,colombian pop,,,,,,,
42,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,87,0caJ2wkqp4UmXBwdR2JvB5,0.693,0.595,8,-7.578,1,0.0311,0.0969,0.0,0.113,0.646,112.02,213817,4,pov: indie,singer-songwriter pop,,,,,,
43,Rema,46pWGuE3dSwY3bMMXGBvVS,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),83,1s7oOCT8vauUh01PbJD6ps,0.799,0.802,11,-5.196,1,0.0371,0.429,0.00128,0.171,0.811,107.008,239318,4,afrobeats,nigerian pop,,,,,,
46,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),95,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520,4,hip hop,rap,,,,,,
47,David Kushner,33NVpKoXjItPwUJTMZIOiY,1odExI7RdWc4BT515LTAwj,Daylight,98,1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4,gen z singer-songwriter,singer-songwriter pop,,,,,,
49,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,85,2HbKqm4o0w5wEeEFXm2sD4,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4,conscious hip hop,hip hop,rap,west coast rap,,,,
50,Asake,3a1tBryiczPAZpgoZN9Rzg,5ZtK8XAVnoaGdBXZWCEVCY,Lonely At The Top,76,5ZtK8XAVnoaGdBXZWCEVCY,0.778,0.801,6,-7.326,0,0.106,0.692,0.000155,0.0912,0.914,104.986,157714,4,afrobeats,nigerian pop,,,,,,
51,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,747cO9FmyVvRCrsRusfwdL,reason,69,747cO9FmyVvRCrsRusfwdL,0.753,0.693,2,-8.111,1,0.245,0.373,0.000234,0.12,0.869,107.985,147363,4,afrobeats,nigerian pop,,,,,,
52,Shallipopi,4TKhxSkqClXrdtUWgKqHVU,2tQMxGMxZIsXez0oVkHg2U,Obapluto,66,2tQMxGMxZIsXez0oVkHg2U,0.814,0.923,6,-3.753,0,0.0878,0.208,0.0,0.248,0.622,114.007,170606,4,viral afropop,,,,,,,
57,Davido,0Y3agQaa6g2r0YmHPOO9rh,1mk8ZC9OeTZMr8Wy31LqRj,FEEL,76,1mk8ZC9OeTZMr8Wy31LqRj,0.837,0.831,2,-6.21,1,0.08,0.0923,0.176,0.0819,0.529,111.978,154513,4,afrobeats,afropop,azontobeats,ghanaian hip hop,nigerian pop,,,
58,ODUMODUBLVCK,3LOm0AZjpwVQebvkyanjDy,1sEIkVGd7fG4K5wFQS6f6y,DECLAN RICE,69,1sEIkVGd7fG4K5wFQS6f6y,0.702,0.783,7,-5.204,1,0.23,0.031,0.032,0.0889,0.667,187.986,123713,4,afro drill,afrobeats,nigerian pop,,,,,
59,Bnxn,3zaDigUwjHvjOkSn0NDf9x,6wuMo4ZR83PhlhXhJ1S3VY,GWAGWALADA,74,6wuMo4ZR83PhlhXhJ1S3VY,0.838,0.569,4,-8.414,0,0.0529,0.194,0.0377,0.0802,0.63,113.046,190542,4,afrobeats,nigerian pop,,,,,,
60,Oxlade,3WTrdbZU99dgTtt3ZkyamT,5YEVBJnnt2qMM67NGCjEdV,INTOXYCATED (feat. Dave),76,5YEVBJnnt2qMM67NGCjEdV,0.788,0.708,1,-4.615,1,0.108,0.12,9.4e-06,0.0985,0.598,105.006,212000,4,afrobeats,nigerian pop,,,,,,
61,J Hus,2a0uxJgbvvIRI4GX8pYfcr,4M6yrN4rJUrwNgHzGKfrN1,Masculine (feat. Burna Boy),74,4M6yrN4rJUrwNgHzGKfrN1,0.675,0.66,7,-5.977,1,0.291,0.179,2.01e-05,0.127,0.713,66.98,204880,5,afroswing,grime,uk hip hop,,,,,
63,Dave,6Ip8FS7vWT1uKkJSweANQK,2FDTHlrBguDzQkp7PVj16Q,Sprinter,97,2FDTHlrBguDzQkp7PVj16Q,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,226383,4,uk hip hop,,,,,,,
66,Blaqbonez,12kjvw4e3gLp6qVHO65n7W,61iDSv1MgCsdo0zKXGxvCO,Like Ice Spice,64,61iDSv1MgCsdo0zKXGxvCO,0.72,0.582,3,-7.854,0,0.297,0.126,0.0,0.231,0.804,178.943,123435,4,afrobeats,nigerian hip hop,nigerian pop,,,,,
67,Adekunle Gold,2IK173RXLiCSQ8fhDlAb3s,0Em4eY10PGyiBlmjWxcav3,Party No Dey Stop,76,0Em4eY10PGyiBlmjWxcav3,0.826,0.657,5,-7.779,0,0.147,0.204,1.37e-05,0.0668,0.86,118.049,168858,4,afrobeats,afropop,alte,azontobeats,nigerian hip hop,nigerian pop,,
70,Seyi Vibez,4zmZ8lVLzGc84S4v2B1rLx,4UdDJ77xjH9ru5r5F9kfOG,Man of The Year,66,4UdDJ77xjH9ru5r5F9kfOG,0.669,0.611,10,-7.068,1,0.0966,0.232,0.0,0.163,0.426,110.008,144000,4,afrobeats,nigerian pop,,,,,,
71,KCee,7KiINhQdLAupkwvJ0EelGG,6WZVnqQ9OZRSGZmXyHHlV3,Ojapiano,70,6WZVnqQ9OZRSGZmXyHHlV3,0.628,0.795,10,-6.27,0,0.0366,0.0444,0.00189,0.582,0.565,114.003,168421,4,afrobeats,afropop,igbo pop,nigerian pop,,,,
74,Young Jonn,4JM1zsVj1pt38Q8mhv5teI,59sAr7NvZDeH7oYrkiyZcQ,Aquafina,69,59sAr7NvZDeH7oYrkiyZcQ,0.821,0.619,6,-9.496,0,0.102,0.0286,4.93e-06,0.118,0.388,115.949,168103,4,afrobeats,nigerian pop,,,,,,
76,Olamide,4ovtyvs7j1jSmwhkBGHqSr,2KwnwVXtAlpSDdRVO9ccTJ,New Religion,70,2KwnwVXtAlpSDdRVO9ccTJ,0.812,0.551,1,-7.829,1,0.268,0.351,1.64e-05,0.317,0.896,114.075,153684,4,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,,,
79,King Promise,4tIKaxUmpXzshok2yCnwdf,1oq33HJBs0rDmjjZ2rVFyG,Terminator,70,1oq33HJBs0rDmjjZ2rVFyG,0.845,0.638,1,-6.549,1,0.0394,0.0259,0.00129,0.0724,0.839,113.017,234025,4,afrobeats,ghanaian alternative,ghanaian pop,,,,,
88,Ruger,0a1SidMjD8D6EHvJph4n2H,7ErtOGQ9DwyQa3lwP77j4u,Asiwaju,79,7ErtOGQ9DwyQa3lwP77j4u,0.727,0.6,8,-4.799,1,0.24,0.636,5.1e-06,0.106,0.754,199.796,216000,4,afrobeats,,,,,,,
91,Tiwa Savage,1hNaHKp2Za5YdOAG0WnRbc,1tOp1bXhT9tvydSAGDHdQy,Stamina,72,1tOp1bXhT9tvydSAGDHdQy,0.578,0.631,8,-7.619,1,0.228,0.314,0.0,0.107,0.794,108.783,169043,4,afrobeats,afropop,azonto,azontobeats,nigerian pop,,,
92,Joeboy,1XavfPKBpNjkOfxHINlMHF,4cPKw3rzgmaU4zixJe6wge,Normally,69,4cPKw3rzgmaU4zixJe6wge,0.787,0.378,8,-8.74,1,0.248,0.31,0.00022,0.104,0.283,95.013,205895,4,afrobeats,afropop,nigerian pop,,,,,
101,LISA,5L1lO4eRHmJ7a0Q6csE5cT,7hU3IHwjX150XLoTVmjD0q,MONEY,83,7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4,k-pop,,,,,,,
103,NONT TANONT,6chmC6o0wvACYVGTITw3Pz,5Zlwu2g4rzTNfyu28L1bWv,รักแรก (First Love) - เพลงประกอบภาพยนตร์ รักแรกโคตรลืมยาก My Precious,74,5Zlwu2g4rzTNfyu28L1bWv,0.559,0.37,2,-8.207,1,0.0389,0.795,0.0,0.113,0.291,121.869,266557,4,thai pop,,,,,,,
104,Jimin,1oSPZhvZMIrWW5I41kPkkY,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,96,3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,212241,4,k-pop,,,,,,,
105,Newery,2ztuZ95DKP7O7DDAxCKYen,5OaXaynJZgklXEwzhouey5,กลิ่นดอกไม้,74,5OaXaynJZgklXEwzhouey5,0.495,0.702,9,-5.603,1,0.0324,0.0997,9.69e-06,0.328,0.461,180.077,232750,4,thai pop,,,,,,,
106,JISOO,6UZ0ba50XreR4TM8u322gs,69CrOS7vEHIrhC2ILyEi0s,FLOWER,83,69CrOS7vEHIrhC2ILyEi0s,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,173134,4,k-pop,,,,,,,
107,เรนิษรา,2UmVsCJpQoAGPcaKbCyheW,7BUHKcrvmr9WIAgEBkwukl,ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว),73,7BUHKcrvmr9WIAgEBkwukl,0.579,0.341,7,-10.106,1,0.0272,0.521,0.103,0.147,0.375,90.061,270033,4,thai pop,,,,,,,
109,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),88,5Odq8ohlgIbQKMZivbWkEo,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4,pop,viral pop,,,,,,
110,BTS,3Nrfpe0tUJi4K4DXYWgMUX,5IAESfJjmOYu7cHyX557kz,Take Two,94,5IAESfJjmOYu7cHyX557kz,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,229953,4,k-pop,k-pop boy group,pop,,,,,
111,TAEYANG,6udveWUgX4vu75FF0DTrXV,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),79,5HrIcZOo1DysX53qDRlRnt,0.763,0.699,11,-6.118,0,0.0554,0.00789,0.0,0.409,0.255,110.01,205101,4,k-pop,korean r&b,,,,,,
112,Cocktail,6JrR3zrG0NQiXb9N9XSyGb,38uarkAk3Y13onWxwj0MIq,ไม่เป็นรอง,71,38uarkAk3Y13onWxwj0MIq,0.418,0.634,9,-6.664,1,0.0362,0.624,0.0,0.128,0.375,186.026,293226,4,thai pop,thai rock,,,,,,
113,DIDIxDADA,2wd5kKWvp9e1i7rBtvvGSc,7KmY6wBpheP60rFEJPJBqN,จังหวะตกหลุมรัก - Magic Moment,71,7KmY6wBpheP60rFEJPJBqN,0.563,0.424,6,-6.757,1,0.0453,0.503,0.0,0.196,0.279,188.014,188617,3,thai pop,,,,,,,
114,JUNENOM,2UFwI4H1ZRWRRCdsxC9N7N,7cwlsNRPvS8v5IqgdScwM8,กาลครั้งนึง,66,7cwlsNRPvS8v5IqgdScwM8,0.638,0.188,7,-15.922,1,0.0526,0.853,0.0,0.137,0.368,75.125,313938,4,,,,,,,,
115,YEW,2xsBUJ327d3iC1LvL5hYrQ,0ZcyX8hFV1jdJNWOI8mMXF,Summertime,71,0ZcyX8hFV1jdJNWOI8mMXF,0.562,0.325,7,-13.669,1,0.0314,0.87,2.39e-05,0.0903,0.474,131.799,246818,3,thai indie rock,thai pop,,,,,,
116,First Anuwat,4KjqrvqKO5fbI5yDR5yzny,7jq0O5rfrzEIqNOsc7v9JT,เดินมาส่ง - BYE,70,7jq0O5rfrzEIqNOsc7v9JT,0.689,0.721,7,-6.583,1,0.0589,0.244,0.0,0.31,0.307,92.067,205435,4,thai pop,,,,,,,
117,Three Man Down,1qAOsY7jv9GFTv4HoVof5P,3vdZ30MzgeTe5PiJXEmqjr,ข้างกัน (City),71,3vdZ30MzgeTe5PiJXEmqjr,0.469,0.727,2,-7.484,1,0.0263,0.246,0.000918,0.27,0.341,176.011,296000,4,thai indie pop,thai pop,,,,,,
118,Pop Pongkool,1C6qssOWal7Sii2guMg0mx,03Yp2uEOtPGHQ6E9XSjmyv,สลักจิต,71,03Yp2uEOtPGHQ6E9XSjmyv,0.544,0.582,11,-6.846,1,0.0375,0.409,4.47e-06,0.342,0.359,162.075,264444,4,thai pop,,,,,,,
120,sarah salola,70ircOPIxsddNpd8Vgq23E,5DMALWZOGyyc7noptzvF2j,ยินดี - เพลงประกอบละครมาตาลดา ช่อง 3,63,5DMALWZOGyyc7noptzvF2j,0.579,0.482,1,-9.512,0,0.0512,0.572,1.11e-06,0.238,0.465,80.006,197250,4,thai pop,,,,,,,
121,Musketeers,0OjRa6r1EIPF5RZPy1SGz9,3XCoEJvCYqTbM8bhples8N,พิจารณา (Consider),70,3XCoEJvCYqTbM8bhples8N,0.77,0.677,10,-6.427,1,0.0589,0.526,0.000483,0.128,0.942,135.982,246838,4,deep german indie,thai pop,,,,,,
122,YourMOOD,5YcdFv3OumeTW8cVW788gT,3vfwUrq22haMmIJyyyI7Hq,ลาก่อน,70,3vfwUrq22haMmIJyyyI7Hq,0.563,0.852,11,-7.114,1,0.0319,0.0175,0.00135,0.108,0.764,135.012,188500,4,thai pop,,,,,,,
123,SHERRY,3Uzr5SP3rk1GL9OdPYL0Rz,5LEp7WRnb0T3L2R2mTa9IZ,เธอไม่ได้สอนให้ฉันอยู่คนเดียว,69,5LEp7WRnb0T3L2R2mTa9IZ,0.504,0.589,10,-7.492,1,0.0271,0.0493,0.00451,0.16,0.491,142.047,277962,4,thai indie,,,,,,,
124,ARMOR,5mgTHOrzHxFvdg8AgUsGuD,45dtFcaOs4lBf8gXAAoN8W,Fall in Love,66,45dtFcaOs4lBf8gXAAoN8W,0.703,0.566,2,-6.878,1,0.0337,0.449,0.000136,0.359,0.425,87.965,199145,4,,,,,,,,
125,bamm,2ORibfYGMt8fuIimSDCTq1,47WfK6QKlLwIOxJaonJ3bA,ใครเพื่อนแก,70,47WfK6QKlLwIOxJaonJ3bA,0.69,0.698,6,-6.294,1,0.04,0.271,0.0,0.102,0.732,144.053,248333,4,thai pop,,,,,,,
