name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6"
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,4rXLjWdF2ZZpXCVTfWcshS,"a Gift & a Curse",95,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4,"atl hip hop","melodic rap",rap,trap,"",""
"Olivia Rodrigo",1McMsnEElThX1knmY4oliG,3k79jB4aGmMDUQzEwa46Rz,vampire,98,3k79jB4aGmMDUQzEwa46Rz,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,219724,4,pop,"","","","",""
"Jung Kook",6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,"Seven (feat. Latto)",97,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,"","","","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,7K3BhSpAxZBznislvUMVtn,"One Thing At A Time",90,7K3BhSpAxZBznislvUMVtn,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,163855,4,"contemporary country","","","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Lover,100,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,pop,"","","","",""
"Eslabon Armado",0XeEobZplHxzM9QzFQWLiR,3qQbCzHBycnDpGskqOWY0E,DESVELADO,93,3qQbCzHBycnDpGskqOWY0E,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671,3,corrido,"corridos tumbados","sad sierreno",sierreno,"",""
"Luke Combs",718COspgdWOnwOFpJHRZHS,1Lo0QY9cvc8sUB2vnIOxDT,"Gettin' Old",92,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,265493,4,"contemporary country",country,"","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,5kHMfzgLZP95O9NBy0ku4v,"Speak Now (Taylor's Version)",93,5kHMfzgLZP95O9NBy0ku4v,0.694,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.819,123.044,273186,4,pop,"","","","",""
SZA,7tYKF4w9nC0nq9CsPZTHyP,1Qrg8KqiBpW07V7PNxwwwL,SOS,94,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,pop,r&b,rap,"","",""
"Billie Eilish",6qqNVTkY8uBg9cP3Jd7DAH,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",89,6wf7Yu7cxBSPrRlWeSeK0Q,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,"art pop",electropop,pop,"","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,5W4kiM2cUYBJXKRudNyxjW,"One Thing At A Time",87,5W4kiM2cUYBJXKRudNyxjW,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,157478,4,"contemporary country","","","","",""
"Nicki Minaj",0hCNtLu0JehylgoiP8L4Gh,741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]",91,741UUVE2kuITl0c6zuqqbO,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,109750,4,"hip pop",pop,"queens hip hop",rap,"",""
"Grupo Frontera",6XkjpgcEsYab502Vr1bBeW,6pD0ufEQq0xdHSsRbg9LBK,"un x100to",98,6pD0ufEQq0xdHSsRbg9LBK,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563,4,"musica chihuahuense","","","","",""
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,7KA4W4McWYRpgf0fWsJZWB,"Flower Boy",95,7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,"hip hop",rap,"","","",""
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,"NewJeans 'Super Shy'",93,5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4,k-pop,"k-pop girl group","","","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,3cBsEDNhFI9E82vPj3kvi3,"Dangerous: The Double Album",88,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3,"contemporary country","","","","",""
"Yng Lvcas",1NNRWkhwmcXRimFYSBpB1y,2UW7JaomAMuX9pZrjVpHAU,"La Bebe (Remix)",99,2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,234353,4,reggaeton,"","","","",""
"Post Malone",246dkjvS1zLTtiykXe5h60,3t0ic4mkhvhamrKDkulB8v,Overdrive,85,3t0ic4mkhvhamrKDkulB8v,0.555,0.729,1,-5.062,1,0.0443,0.000374,0.000139,0.347,0.482,139.864,147680,4,"dfw rap","melodic rap",pop,rap,"",""
"Zach Bryan",40ZNYROS4zLfyyBSs2PGe2,3WMj8moIAXJhHsyLaqIIHI,"Something in the Orange",90,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,"classic oklahoma country","modern country pop","","","",""
"Bad Bunny",4q3ewBCX7sLwd24euuV69X,7ro0hRteUMfnOioTFI5TG1,"WHERE SHE GOES",99,7ro0hRteUMfnOioTFI5TG1,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,231704,4,reggaeton,"trap latino","urbano latino","","",""
"Lil Durk",3hcs9uc56yIGFCSy9leWe7,6T7FXSuXykeGktMLGp8WgE,"Almost Healed",83,6T7FXSuXykeGktMLGp8WgE,0.787,0.57,3,-5.881,1,0.225,0.0449,0.0,0.135,0.733,142.974,223879,4,"chicago drill","chicago rap",drill,"hip hop",rap,trap
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,6AQbmUe0Qwf5PZnt4HmTXv,"Boy's a liar Pt. 2",94,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4,"bedroom pop","","","","",""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,7mXuWTczZNxG5EDcjFEuJR,"GÉNESIS",93,7mXuWTczZNxG5EDcjFEuJR,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,212878,3,"sad sierreno","","","","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,0PAcdVzhPO4gq1Iym9ESnK,"One Thing At A Time",88,0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,177388,4,"contemporary country","","","","",""
"Fuerza Regida",0ys2OFYzWYB5hRDLCsBqxt,1UMm1Qs3u59Wvk53zBUE8r,"SABOR FRESA",94,1UMm1Qs3u59Wvk53zBUE8r,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,156501,3,corrido,"corridos tumbados","sad sierreno",sierreno,"",""
"Junior H",7Gi6gjaWy3DxyilpF1a8Is,1haJsMtoBhHfvuM7XWuT3W,"El Azul",95,1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,9,-7.081,0,0.055,0.226,7.76e-06,0.0986,0.844,143.876,187226,3,corrido,"corridos tumbados","musica mexicana","sad sierreno",sierreno,""
"J. Cole",6l3HvQ5sa6mXTsMTB19rO5,68Dni7IE4VyPkTOH9mRWHr,"2014 Forest Hills Drive",92,68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4,"conscious hip hop","hip hop","north carolina hip hop",rap,"",""
"Fuerza Regida",0ys2OFYzWYB5hRDLCsBqxt,368eeEO3Y2uZUQ6S5oIjcu,TQM,95,368eeEO3Y2uZUQ6S5oIjcu,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,157252,3,corrido,"corridos tumbados","sad sierreno",sierreno,"",""
"Harry Styles",6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e,"Harry's House",94,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,pop,"","","","",""
"FIFTY FIFTY",4GJ6xDCF5jaUqD6avOuQT6,7FbrGaHYVDmfr7KoLIZnQ7,"The Beginning: Cupid",98,7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253,4,"k-pop girl group","","","","",""
"Lil Uzi Vert",4O15NlyKLIASxsJ0PrXPfz,4daEMLSZCgZ2Mt7gNm2SRa,"Pink Tape",88,4daEMLSZCgZ2Mt7gNm2SRa,0.64,0.609,1,-7.714,0,0.304,0.492,2.47e-06,0.152,0.393,131.889,192727,4,"melodic rap","philly rap","rage rap",rap,trap,""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,7KokYm8cMIXCsGVmUvKtqf,Midnights,92,7KokYm8cMIXCsGVmUvKtqf,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,204852,4,pop,"","","","",""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,7bPp2NmpmyhLJ7zWazAXMu,"GÉNESIS",92,7bPp2NmpmyhLJ7zWazAXMu,0.557,0.866,6,-4.454,1,0.0503,0.394,0.0,0.11,0.631,167.767,209415,4,"sad sierreno","","","","",""
"Miley Cyrus",5YGY8feqx7naU7z4HrwZM6,4DHcnVTT87F0zZhRPYmZ3B,"Endless Summer Vacation",90,4DHcnVTT87F0zZhRPYmZ3B,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,pop,"","","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,0V3wPSX9ygBnCm8psDIegu,Midnights,95,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,4,pop,"","","","",""
Drake,3TVXtAsR1Inumwj472S9r4,7aRCf5cLOFN1U7kvtChY1G,"Search & Rescue",90,7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113,4,"canadian hip hop","canadian pop","hip hop",rap,"toronto rap",""
"Myke Towers",7iK8PXO48WeuP03g8YR51W,7ABLbnD53cQK00mhcaOUVG,"LA VIDA ES UNA",98,7ABLbnD53cQK00mhcaOUVG,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920,4,reggaeton,"trap latino","urbano latino","","",""
Bizarrap,716NhGYqD1jl2wI1Qkgq36,5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",96,5AqiaZwhmC6dIbgWrD5SzV,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,187660,3,"argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino",""
"Troye Sivan",3WGpXCj9YhhfX11TToZcXP,3xIMkM5LgbVDkpO74O3Np3,Rush,87,3xIMkM5LgbVDkpO74O3Np3,0.742,0.839,5,-7.614,0,0.0618,0.00306,4.2e-05,0.106,0.346,126.03,156391,4,"australian pop",pop,"viral pop","","",""
"Post Malone",246dkjvS1zLTtiykXe5h60,0RiRZpuVRbi7oqRdSMwhQY,"Hollywood's Bleeding",88,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4,"dfw rap","melodic rap",pop,rap,"",""
"Kali Uchis",1U1el3k54VvEUzo3ybLPlM,0JmnkIqdlnUzPaf8sqBRs3,"Red Moon In Venus",88,0JmnkIqdlnUzPaf8sqBRs3,0.642,0.706,7,-6.872,0,0.052,0.518,0.0,0.25,0.896,136.851,187723,4,"colombian pop","","","","",""
Drake,3TVXtAsR1Inumwj472S9r4,3F5CgOj3wFlRv51JsHbxhe,"Honestly, Nevermind",91,3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4,"canadian hip hop","canadian pop","hip hop",rap,"toronto rap",""
"Noah Kahan",2RQXRUsr4IW1f3mKyKsy4B,0caJ2wkqp4UmXBwdR2JvB5,"Stick Season (We'll All Be Here Forever)",87,0caJ2wkqp4UmXBwdR2JvB5,0.693,0.595,8,-7.578,1,0.0311,0.0969,0.0,0.113,0.646,112.02,213817,4,"pov: indie","singer-songwriter pop","","","",""
Rema,46pWGuE3dSwY3bMMXGBvVS,1s7oOCT8vauUh01PbJD6ps,"Rave & Roses Ultra",83,1s7oOCT8vauUh01PbJD6ps,0.799,0.802,11,-5.196,1,0.0371,0.429,0.00128,0.171,0.811,107.008,239318,4,afrobeats,"nigerian pop","","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,3sW3oSbzsfecv9XoUdGs7h,"Speak Now (Taylor's Version)",91,3sW3oSbzsfecv9XoUdGs7h,0.505,0.532,8,-3.526,1,0.0265,0.012,0.0,0.149,0.216,81.907,353253,4,pop,"","","","",""
SZA,7tYKF4w9nC0nq9CsPZTHyP,4iZ4pt7kvcaH6Yo8UoZ4s2,SOS,92,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4,pop,r&b,rap,"","",""
"Metro Boomin",0iEtIxbK0KxaSlF7G42ZOp,2dHHgzDwk4BJdRwy9uXhTO,"HEROES & VILLAINS",96,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520,4,"hip hop",rap,"","","",""
"David Kushner",33NVpKoXjItPwUJTMZIOiY,1odExI7RdWc4BT515LTAwj,Daylight,98,1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4,"gen z singer-songwriter","singer-songwriter pop","","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,79uDOz0zuuWS7HWxzMmTa2,"Speak Now (Taylor's Version)",91,79uDOz0zuuWS7HWxzMmTa2,0.497,0.635,2,-3.927,1,0.0273,0.00621,0.0,0.117,0.203,142.063,294190,4,pop,"","","","",""
"Kendrick Lamar",2YZyLoL8N0Wb9xBt1NhZWg,2HbKqm4o0w5wEeEFXm2sD4,"good kid, m.A.A.d city",86,2HbKqm4o0w5wEeEFXm2sD4,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4,"conscious hip hop","hip hop",rap,"west coast rap","",""
